original,current,experiments,entry,status
scripts/__init__.py,scripts/__init__.py,,,retained_existing_entry
scripts/aggregate_results.py,scripts/aggregate_results.py,,,retained_existing_entry
scripts/analyze_higher_order_context_mechanism.py,scripts/analyze_higher_order_context_mechanism.py,,,retained_existing_entry
scripts/audit_dataset.py,scripts/audit_dataset.py,,,retained_existing_entry
scripts/paper/__init__.py,scripts/benchmarks/__init__.py,,,shared_workflow
scripts/paper/_dispatch.py,scripts/benchmarks/_dispatch.py,,,shared_workflow
scripts/paper/data/run_construction.py,scripts/benchmarks/data/run_construction.py,,,shared_workflow
scripts/paper/lle/run_generalization.py,scripts/benchmarks/lle/run_generalization.py,,,shared_workflow
scripts/paper/lle/run_prediction.py,scripts/benchmarks/lle/run_prediction.py,,,shared_workflow
scripts/paper/lle/run_thermodynamics.py,scripts/benchmarks/lle/run_thermodynamics.py,,,shared_workflow
scripts/paper/registry.py,scripts/benchmarks/registry.py,,,shared_workflow
scripts/paper/separation_design/run_autonomous.py,scripts/benchmarks/separation_design/run_autonomous.py,,,shared_workflow
scripts/paper/vle/run_ablation.py,scripts/benchmarks/vle/run_ablation.py,,,shared_workflow
scripts/paper/vle/run_comparison.py,scripts/benchmarks/vle/run_comparison.py,,,shared_workflow
scripts/paper/vle/run_generalization.py,scripts/benchmarks/vle/run_generalization.py,,,shared_workflow
scripts/paper/vle/run_interpretability.py,scripts/benchmarks/vle/run_interpretability.py,,,shared_workflow
scripts/paper/vle/run_prediction.py,scripts/benchmarks/vle/run_prediction.py,,,shared_workflow
scripts/build_c1_ablation_report.py,scripts/build_c1_ablation_report.py,,,retained_existing_entry
scripts/build_c1_generalization_report.py,scripts/build_c1_generalization_report.py,,,retained_existing_entry
scripts/build_reports.py,scripts/build_reports.py,,,retained_existing_entry
scripts/build_three_stage_training_ablation_report.py,scripts/build_three_stage_training_ablation_report.py,,,retained_existing_entry
scripts/data/prepare_dataset.py,scripts/data/prepare_dataset.py,,,retained_existing_entry
scripts/evaluate.py,scripts/evaluate.py,,,retained_existing_entry
scripts/evaluate_lle.py,scripts/evaluate_lle.py,,,retained_existing_entry
scripts/finalize_context_mechanism_audit.py,scripts/finalize_context_mechanism_audit.py,,,retained_existing_entry
scripts/generate_entrainer_workflow_figure.py,scripts/generate_entrainer_workflow_figure.py,,,retained_existing_entry
scripts/generate_lle_splits.py,scripts/generate_lle_splits.py,,,retained_existing_entry
scripts/generate_splits.py,scripts/generate_splits.py,,,retained_existing_entry
scripts/generate_ternary_splits.py,scripts/generate_ternary_splits.py,,,retained_existing_entry
scripts/generate_vle_splits.py,scripts/generate_vle_splits.py,,,retained_existing_entry
scripts/import_entrainer_validation.py,scripts/import_entrainer_validation.py,,,retained_existing_entry
scripts/internal/phasepy_baseline_worker.py,scripts/internal/phasepy_baseline_worker.py,,,retained_existing_entry
scripts/plot_context_mechanism_main.py,scripts/plot_context_mechanism_main.py,,,retained_existing_entry
